SiteID,856431,Site Timezone,-7,Data Timezone,-7,Longitude,-105.102600098,Latitude,39.6388206482
Year,Month,Day,Hour,Minute,wind direction at 100m (deg),wind speed at 100m (m/s)
2008,1,1,0,0,50.480000000000004,6.67
2008,1,1,0,5,48.410000000000004,6.3100000000000005
2008,1,1,0,10,44.85,5.51
2008,1,1,0,15,40.17,4.7
2008,1,1,0,20,32.02,3.91
2008,1,1,0,25,24.2,3.2600000000000002
2008,1,1,0,30,15.8,2.85
2008,1,1,0,35,3.27,2.6
2008,1,1,0,40,351.16,2.56
2008,1,1,0,45,339.46,2.86
2008,1,1,0,50,333.6,3.12
2008,1,1,0,55,331.87,3.22
2008,1,1,1,0,332.67,3.18
2008,1,1,1,5,334.97,3.0300000000000002
2008,1,1,1,10,340.39,2.83
2008,1,1,1,15,347.94,2.72
2008,1,1,1,20,352.11,2.83
2008,1,1,1,25,355.59000000000003,2.91
2008,1,1,1,30,6.82,2.8000000000000003
2008,1,1,1,35,29.32,2.74
2008,1,1,1,40,51.300000000000004,3.1
2008,1,1,1,45,66.26,3.45
2008,1,1,1,50,84.98,3.98
2008,1,1,1,55,104.49000000000001,3.8000000000000003
2008,1,1,2,0,126.85000000000001,3.0500000000000003
2008,1,1,2,5,129.99,3.04
2008,1,1,2,10,117.43,2.89
2008,1,1,2,15,108.56,2.68
2008,1,1,2,20,113.7,2.49
2008,1,1,2,25,131.64000000000001,2.46
2008,1,1,2,30,150.69,2.81
2008,1,1,2,35,161.87,3.15
2008,1,1,2,40,168.66,3.24
2008,1,1,2,45,172.43,3.21
2008,1,1,2,50,172.69,3.14
2008,1,1,2,55,171.1,3.08
2008,1,1,3,0,169.53,3
2008,1,1,3,5,167.55,2.9
2008,1,1,3,10,165.26,2.7600000000000002
2008,1,1,3,15,163.27,2.5300000000000002
2008,1,1,3,20,162.55,2.23
2008,1,1,3,25,163.36,1.9100000000000001
2008,1,1,3,30,163.70000000000002,1.6
2008,1,1,3,35,160.31,1.28
2008,1,1,3,40,154,1.02
2008,1,1,3,45,150.83,0.85
2008,1,1,3,50,158.48,0.78
2008,1,1,3,55,169.51,0.86
2008,1,1,4,0,175.76,1.05
2008,1,1,4,5,179.32,1.32
2008,1,1,4,10,180.75,1.69
2008,1,1,4,15,179.48,2.08
2008,1,1,4,20,176.75,2.43
2008,1,1,4,25,175.29,2.77
2008,1,1,4,30,176.01,3.12
2008,1,1,4,35,178.43,3.43
2008,1,1,4,40,180.17000000000002,3.67
2008,1,1,4,45,180.38,3.77
2008,1,1,4,50,178.88,3.8200000000000003
2008,1,1,4,55,177.26,3.93
2008,1,1,5,0,176.07,4.13
2008,1,1,5,5,175.97,4.44
2008,1,1,5,10,177.01,4.8100000000000005
2008,1,1,5,15,178.1,5.12
2008,1,1,5,20,178.49,5.3
2008,1,1,5,25,178.67000000000002,5.2700000000000005
2008,1,1,5,30,179.15,5.15
2008,1,1,5,35,179.21,5.08
2008,1,1,5,40,178.84,5.1000000000000005
2008,1,1,5,45,178.68,5.29
2008,1,1,5,50,178.56,5.57
2008,1,1,5,55,177.77,5.9
2008,1,1,6,0,176.66,6.2
2008,1,1,6,5,175.63,6.37
2008,1,1,6,10,174.47,6.42
2008,1,1,6,15,172.92000000000002,6.47
2008,1,1,6,20,171.22,6.49
2008,1,1,6,25,169.91,6.38
2008,1,1,6,30,168.69,6.2700000000000005
2008,1,1,6,35,167.42000000000002,6.44
2008,1,1,6,40,166.81,6.93
2008,1,1,6,45,166.45000000000002,7.38
2008,1,1,6,50,165.76,7.48
2008,1,1,6,55,165.12,7.3500000000000005
2008,1,1,7,0,164.83,7.19
2008,1,1,7,5,164.64000000000001,7.140000000000001
2008,1,1,7,10,164.35,7.22
2008,1,1,7,15,163.69,7.3
2008,1,1,7,20,162.79,7.32
2008,1,1,7,25,161.69,7.23
2008,1,1,7,30,160.78,7.04
2008,1,1,7,35,160.67000000000002,6.88
2008,1,1,7,40,160.77,6.8500000000000005
2008,1,1,7,45,160.88,6.82
2008,1,1,7,50,161.20000000000002,6.67
2008,1,1,7,55,161.56,6.44
2008,1,1,8,0,161.68,6.2
2008,1,1,8,5,161.58,5.94
2008,1,1,8,10,162.14000000000001,5.68
2008,1,1,8,15,163.4,5.42
2008,1,1,8,20,164.8,5.08
2008,1,1,8,25,166.21,4.67
2008,1,1,8,30,167.68,4.21
2008,1,1,8,35,170.35,3.7
2008,1,1,8,40,173.81,3.19
2008,1,1,8,45,178.51,2.59
2008,1,1,8,50,184.98,2.08
2008,1,1,8,55,192.87,1.6400000000000001
2008,1,1,9,0,202.26,1.3
2008,1,1,9,5,215.71,1.08
2008,1,1,9,10,233.27,0.9500000000000001
2008,1,1,9,15,249.1,0.9
2008,1,1,9,20,256.68,0.9
2008,1,1,9,25,259.31,0.87
2008,1,1,9,30,259.9,0.85
2008,1,1,9,35,260.22,0.79
2008,1,1,9,40,253.76000000000002,0.7000000000000001
2008,1,1,9,45,236.74,0.68
